LETTER,TYPE,INVERSION,STRINGONE,STRINGTWO,STRINGTHREE,STRINGFOUR,STRINGFIVE,STRINGSIX,SHAPE
Ef,MINOR9,0,,,,,,,
Ef,HALF-DIM,0,X,6,4,6,4,5,
Ef,DIMINISHED,0,X,X,1,2,4,2,
Ef,AUG,0,X,6,5,0,0,1,
V2,,,,,,,,,
C,MAJOR13,0,X,3,5,4,4,5,
C,MINMAJ7,0,X,3,1,0,0,3,
C,MINMAJ6,0,X,3,1,2,1,3,
D,MAJOR13,0,X,5,4,4,2,5,
D,MINMAJ7,0,X,X,0,2,2,1,
D,MINMAJ6,0,X,5,3,4,3,5,
E,MAJOR13,0,0,2,1,1,2,2,
E,MINMAJ7,0,0,2,1,0,0,0,
E,MINMAJ6,0,0,2,2,0,2,0,
F,MAJOR13,0,1,X,2,2,3,X,
F,MINMAJ7,0,1,3,2,1,1,0,
F,MINMAJ6,0,1,3,3,1,3,1,
G,MAJOR13,0,3,X,4,4,5,X,
G,MINMAJ7,0,3,1,0,0,3,2,
G,MINMAJ6,0,3,1,0,0,3,0,
A,MAJOR13,0,5,X,6,6,7,X,
A,MINMAJ7,0,X,0,2,1,1,0,
A,MINMAJ6,0,X,0,2,2,1,2,
B,MAJOR13,0,X,2,X,3,4,4,
B,MINMAJ7,0,X,2,0,3,0,2,
B,MINMAJ6,0,X,2,0,1,0,2,
On,MAJOR,0,0,0,0,0,0,0,
